"#","Qty","Reference","Value","Manufacturer","Manufacturer Part No","JLCPCB Part #","Package","Footprint"
"1","1","C201","1uF 10% 50V","Samsung Electro-Mechanics","CL21B105KBFNNNE","C28323","0805","JLCPCB Basic:CAPC2012X135N"
"2","12","C202,C302,C303,C304,C305,C306,C307,C401,C402,C404,C409,C411","10uF 10% 50V","Samsung Electro-Mechanics","CL31A106KBHNNNE","C13585","1206","JLCPCB Basic:CAPC3216X180N"
"3","8","C203,C204,C205,C301,C308,C403,C408,C410","0.1uF 10% 50V","YAGEO","CC0603KRX7R9BB104","C14663","0603","JLCPCB Basic:CAPC1608X90N"
"4","1","C208","22pF 5% 50V","Samsung Electro-Mechanics","CL10C220JB8NNNC","C1653","0603","JLCPCB Basic:CAPC1608X90N"
"5","2","C309,C406","220nF 10% 50V","Samsung Electro-Mechanics","CL21B224KBFNNNE","C5378","0805","JLCPCB Basic:CAPC2012X135N"
"6","2","C405,C407","22uF 20% 25V","Samsung Electro-Mechanics","CL21A226MAQNNNE","C45783","0805","JLCPCB Basic:CAPC2012X75N"
"7","2","D301,D302","13.3V 0.1uA Leak","LITTELFUSE","SMF4L13AT1G","C27031045","SOD-123FL","LITTELFUSE Diodes:SODFL3619X98N"
"8","1","D401","KT-0603R","Hubei KENTO Elec"," KT-0603R","C2286","0603","JLCPCB Basic:LED_0603_1608Metric"
"9","1","D601","40V 1A","Guangdong Hottech","1N5819WS","C191023","SOD-323","GUANGDONG HOTTECH Diodes:D_SOD-323F"
"10","2","IC301,IC402","LM74700QDBVTQ1","Texas Instruments","LM74700QDBVTQ1","C2653623","SOT-23-6","TEXAS INSTRUMENTS ICs:SOT95P280X145-6N"
"11","1","IC401","TPS563200DDCR","Texas Instruments","TPS563200DDCR","C97253","TSOT-23-6","TEXAS INSTRUMENTS ICs:SOT95P280X110-6N"
"12","1","J301","1715721"," Phoenix Contact"," 1715721","C480516","Plugin,P=5.08mm","PHOENIX CONTACT Terminals:1715721"
"13","8","J501,J502,J503,J504,J505,J506,J507,J508","A2541HWV-10P","CJT(Changjiang Connectors)","A2541HWV-10P","C225507","Plugin,P=2.54mm","CJT Connectors:PinSocket_1x10_P2.54mm_Vertical_Female"
"14","1","J602","1051640001","MOLEX","1051640001","C234179","SMD","MOLEX Connectors:CON00906_5_MOL"
"15","1","L401","3.3uH 6.6A 20%","Coilcraft","XAL4030-332MEC","C2937437","SMD,4x4mm","COILCRAFT Inductors:XAL40XX"
"16","2","Q301,Q401","60V 38A","onsemi","NVD5C684NLT4G","C236252","DPAK","ONSEMI Transistors:DPAK__SINGLE-GAUGE__TO-252_369C__ISSUE_F"
"17","8","R201,R202,R203,R204,R205,R206,R403,R404","10kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F1002T5E","C17414","0805","JLCPCB Basic:RESC2013X65N"
"18","2","R207,R208","22Ω 1/8W 5%","UNI-ROYAL(Uniroyal Elec)","0805W8F220JT5E","C17561","0805","JLCPCB Basic:RESC2013X65N"
"19","2","R209,R210","4.7kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F4701T5E"," C17673","0805","JLCPCB Basic:RESC2013X65N"
"20","3","R211,R212,R213","47Ω 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F470JT5E","C17714","0805","JLCPCB Basic:RESC2013X65N"
"21","1","R401","330Ω 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F3300T5E","C17630","0805","JLCPCB Basic:RESC2013X65N"
"22","1","R402","56kΩ 1/4W 1%","YAGEO","RC1206FR-0756KL","C137251","1206","YAGEO Resistors:RESC3116X65N"
"23","2","R603,R604","100kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F1003T5E","C149504","0805","JLCPCB Basic:RESC2013X65N"
"24","2","S201,S202","Push Button SPST","XUNPU","TS-1088-AR02016","C720477","SMD,4x3mm","JLCPCB Basic:SW_TS-1088-AR02016"
"25","1","U201","ESP32-S3-WROOM-1U-N16R8","Espressif Systems","ESP32-S3-WROOM-1U-N16R8","C3013946","SMD,19.2x18mm","PCM_Espressif:ESP32-S3-WROOM-1U"
"26","1","U401","LDO 3.3V 1A","Microchip Tech","MCP1826-3302E/ET","C144361","D2PAK-5","MICROCHIPTECH Low Dropout Regulators:DDPAK5_MC_MCH"
"27","1","U601","ESD Protection IC","STMicroelectronics","USBLC6-2SC6","C7519","SOT-23-6L","STMICROELECTRONICS Protection:SOT95P280X145-6N"
